id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license,number_of_reviews_ltm
43077495,Mission/Potrero Hill Private Bedroom,18415786,Charlie,Mission,37.75390000,-122.40743000,private room,0.00,31,0,,,1,0,,0
582150562964473517,Donatello Hotel<>,52178915,Jim,Downtown/Civic Center,37.78730000,-122.41141000,entire home/apt,0.00,2,23,2024-01-11,0.77,50,0,Exempt,6
852910268715086460,Presidio Perch,258884755,Jonathan,Western Addition,37.78290695,-122.44429174,entire home/apt,0.00,21,0,,,1,0,,0
23838746,San Francisco Studio,43014594,Andrew,Outer Mission,37.72894000,-122.44477000,entire home/apt,0.00,30,0,,,1,0,,0
24162999,Balmy Alley private room and bath,7426517,John,Mission,37.75054000,-122.41189000,private room,0.00,2,9,2022-09-08,0.12,3,0,STR-0003018,0
24992845,Bright & Charming Mission Studio,4430421,Landmark,Mission,37.76536000,-122.41911000,entire home/apt,0.00,30,1,2019-02-06,0.01,140,302,,0
27834918,San Francisco Apartment,46516288,Hyerin,South of Market,37.77830000,-122.41438000,entire home/apt,0.00,30,0,,,1,0,,0
28164026,Quick Walk to Valencia Street,61475820,Martin,Mission,37.75865000,-122.42195000,entire home/apt,0.00,30,0,,,1,0,,0
32384648,Prime Location in San Francisco in Union Square,64646820,Michelle,Downtown/Civic Center,37.78889000,-122.41159000,private room,0.00,1,7,2022-07-12,0.10,35,0,License not needed per OSTR,0
36944347,Suites at Fisherman's Wharf,52178915,Jim,Russian Hill,37.80543000,-122.42061000,entire home/apt,0.00,2,7,2024-01-11,0.31,50,0,License not needed per OSTR,1
37370763,Ultra-modern 2 Bedroom 2 Bath,86968715,Urooj,Financial District,37.78849000,-122.39594000,entire home/apt,0.00,30,0,,,1,0,,0
37914754,Tranquil space,51443736,Scott,Bayview,37.71306000,-122.38779000,private room,0.00,30,0,,,1,0,,0
40095558,Large Modern 2 BR Victorian Apt in Lower Haight,1852089,Luke,Western Addition,37.77216000,-122.43269000,entire home/apt,0.00,30,0,,,1,0,City registration pending,0
40591096,HERBERT Room with Private Bath,100390518,Herbert,Downtown/Civic Center,37.78551000,-122.40893000,private room,0.00,1,11,2024-05-05,0.28,18,0,License not needed per OSTR,5
40821231,Bright and Stylish 1-Bdr Sunset Home,1759228,Sonja,Outer Sunset,37.75959000,-122.47740000,entire home/apt,0.00,4,17,2024-08-10,0.55,2,0,,7
43477163,Large Private Bedroom next to Market Street,346671348,Jules,Downtown/Civic Center,37.78241000,-122.41051000,private room,0.00,30,0,,,4,0,,0
