"overall_parent_ngb","overall_year","financial_year","membership_bucket_def","revenue_bucket_def","staff_bucket_def","ceo_salary","membership_bucket","membership_size","revenue_bucket","staff_bucket","staff_size","total_expenses","total_revenue"
"USA Bobsled & Skeleton",2019,"Jul 1 - Jun 30","< 10,000","$2M-$10M","10-30",212087,4,164,3,3,24,3539634,3539634
"USA Gymnastics",2019,"Jan 1 - Dec 31","> 100,000","> $20M","30-100",387849,1,209000,1,2,61,0,0
"USA Water Skiing",2018,"Jan 1 - Dec 31","10,000-30,000","< $2M","10-30",46578,3,15000,4,3,11,1887924,1887924
"USA Fencings",2019,"Aug 1 - July 31","30,000-100,000","$10M-$20M","10-30",161889,2,35000,2,3,22,10717405,10717405
"US Sailing",2019,"Jan 1 - Dec 31","30,000-100,000","$10M-$20M","30-100",221708,2,46000,2,2,52,11561591,11561591
"US Biathlon Association",2019,"Jul 1 - Jun 30","< 10,000","$2M-$10M","10-30",153787,4,900,3,3,12,2453282,2453282
"USA Triathlon",2018,"Jan 1 - Dec 31","> 100,000","$10M-$20M","30-100",413480,1,400000,2,2,96,17330335,17330335
"USA Cycling",2019,"Jan 1 - Dec 31","> 100,000","$10M-$20M","30-100",304802,1,100000,2,2,77,17068468,17068468
"USA Golf",2018,"Jan 1 - Dec 31","n/a","< $2M","< 10",31264,0,0,4,4,0,62539,62539
"USA Fencing",2018,"Aug 1 - July 31","30,000-100,000","$10M-$20M","10-30",162214,2,35000,2,3,21,9838859,9838859
"US Soccer Federation",2019,"Apr 1 - Mar 31","> 100,000","> $20M","> 100",930879,1,4126000,1,1,1228,131804573,131804573
"USA Team Handball",2019,"Jul 1 - Jun 30","< 10,000","< $2M","< 10",100000,4,800,4,4,3,517489,517489
"USA Badminton",2018,"Jan 1 - Dec 31","< 10,000","< $2M","< 10",135000,4,4000,4,4,4,909201,909201
"US Equestrian Federation",2018,"Dec 1 - Nov 30","> 100,000","> $20M","> 100",437282,1,105000,1,1,181,32855804,32855804
